(22309, (255, 255, 255, 255))
(209, (132, 189, 242, 255))
(208, (164, 219, 253, 255))
(164, (204, 252, 253, 255))
(149, (148, 204, 251, 255))
(146, (172, 226, 254, 255))
(139, (163, 219, 253, 255))
(132, (178, 229, 254, 255))
(127, (170, 221, 253, 255))
(127, (156, 211, 252, 255))
(124, (171, 225, 254, 255))
(118, (156, 212, 252, 255))
(116, (188, 250, 253, 255))
(116, (155, 211, 252, 255))
(111, (211, 252, 253, 255))
(111, (210, 252, 253, 255))
(111, (169, 221, 253, 255))
(105, (164, 220, 253, 255))
(103, (172, 225, 254, 255))
(100, (205, 252, 253, 255))
(100, (132, 189, 241, 255))
(100, (116, 173, 226, 255))
(98, (170, 222, 253, 255))
(98, (140, 197, 249, 255))
(96, (167, 245, 251, 255))
(96, (147, 203, 250, 255))
(95, (153, 206, 250, 255))
(95, (131, 188, 241, 255))
(94, (180, 249, 252, 255))
(92, (177, 228, 254, 255))
(91, (196, 251, 253, 255))
(91, (163, 218, 253, 255))
(89, (149, 204, 251, 255))
(89, (154, 207, 250, 255))
(88, (154, 210, 252, 255))
(87, (133, 189, 242, 255))
(87, (165, 219, 253, 255))
(86, (227, 254, 253, 255))
(86, (165, 220, 253, 255))
(86, (157, 216, 253, 255))
(86, (170, 224, 254, 255))
(86, (171, 226, 254, 255))
(85, (162, 218, 253, 255))
(85, (155, 210, 252, 255))
(85, (151, 209, 252, 255))
(83, (149, 205, 251, 255))
(83, (147, 204, 251, 255))
(82, (209, 252, 253, 255))
(82, (140, 197, 248, 255))
(81, (150, 208, 252, 255))
(80, (164, 218, 253, 255))
(78, (158, 218, 253, 255))
(78, (162, 214, 251, 255))
(77, (176, 228, 254, 255))
(76, (187, 250, 253, 255))
(76, (135, 190, 242, 255))
(75, (156, 210, 245, 255))
(75, (133, 190, 242, 255))
(74, (162, 219, 253, 255))
(74, (181, 249, 252, 255))
(73, (203, 252, 253, 255))
(73, (171, 222, 253, 255))
(73, (164, 218, 252, 255))
(72, (168, 220, 253, 255))
(72, (163, 217, 252, 255))
(72, (139, 196, 248, 255))
(72, (138, 195, 247, 255))
(71, (219, 253, 253, 255))
(71, (197, 251, 253, 255))
(71, (162, 213, 251, 255))
(71, (163, 218, 252, 255))
(71, (152, 205, 250, 255))
(71, (161, 213, 251, 255))
(71, (148, 205, 251, 255))
(71, (147, 204, 250, 255))
(70, (177, 229, 254, 255))
(70, (173, 226, 254, 255))
(69, (218, 253, 253, 255))
(69, (189, 250, 253, 255))
(69, (166, 220, 253, 255))
(69, (175, 227, 254, 255))
(69, (152, 206, 250, 255))
(69, (148, 204, 250, 255))
(68, (161, 214, 251, 255))
(68, (147, 203, 251, 255))
(68, (158, 217, 253, 255))
(67, (157, 217, 253, 255))
(67, (164, 219, 252, 255))
(67, (157, 211, 246, 255))
(66, (206, 252, 253, 255))
(66, (157, 218, 253, 255))
(65, (202, 252, 253, 255))
(65, (156, 210, 251, 255))
(65, (136, 190, 242, 255))
(64, (170, 225, 254, 255))
(64, (154, 207, 249, 255))
(64, (155, 212, 252, 255))
(64, (146, 203, 250, 255))
(63, (133, 189, 241, 255))
(63, (154, 206, 250, 255))
(62, (190, 250, 253, 255))
(62, (148, 203, 250, 255))
(62, (148, 204, 249, 255))
(62, (176, 227, 254, 255))
(62, (173, 227, 254, 255))
(62, (153, 206, 249, 255))
(61, (195, 251, 253, 255))
(61, (136, 191, 243, 255))
(61, (155, 210, 251, 255))
(61, (153, 207, 251, 255))
(61, (156, 213, 252, 255))
(61, (171, 224, 254, 255))
(60, (163, 220, 253, 255))
(60, (143, 201, 250, 255))
(59, (148, 203, 244, 255))
(59, (151, 205, 250, 255))
(58, (161, 213, 250, 255))
(58, (149, 204, 250, 255))
(58, (156, 210, 246, 255))
(58, (141, 198, 249, 255))
(57, (208, 252, 253, 255))
(57, (171, 223, 253, 255))
(57, (168, 221, 253, 255))
(57, (159, 218, 253, 255))
(57, (155, 209, 251, 255))
(57, (162, 217, 252, 255))
(57, (140, 196, 243, 255))
(56, (169, 220, 253, 255))
(56, (156, 211, 251, 255))
(56, (125, 182, 234, 255))
(56, (154, 211, 252, 255))
(56, (150, 209, 252, 255))
(56, (134, 190, 242, 255))
(55, (179, 233, 254, 255))
(55, (156, 210, 252, 255))
(55, (163, 216, 252, 255))
(55, (158, 215, 252, 255))
(55, (150, 205, 250, 255))
(54, (212, 252, 253, 255))
(54, (154, 209, 251, 255))
(54, (153, 205, 249, 255))
(54, (148, 203, 245, 255))
(54, (121, 180, 238, 255))
(54, (109, 166, 217, 255))
(54, (165, 219, 252, 255))
(54, (146, 199, 243, 255))
(53, (158, 216, 252, 255))
(53, (157, 215, 252, 255))
(53, (142, 200, 245, 255))
(52, (198, 251, 253, 255))
(52, (168, 245, 251, 255))
(52, (140, 195, 239, 255))
(52, (158, 216, 253, 255))
(52, (169, 224, 254, 255))
(52, (142, 200, 246, 255))
(52, (110, 167, 218, 255))
(52, (141, 197, 243, 255))
(52, (149, 203, 245, 255))
(52, (145, 202, 250, 255))
(51, (194, 251, 253, 255))
(51, (133, 190, 243, 255))
(51, (162, 217, 253, 255))
(51, (150, 205, 251, 255))
(51, (157, 212, 252, 255))
(51, (170, 226, 254, 255))
(51, (146, 202, 250, 255))
(51, (144, 202, 250, 255))
(51, (108, 165, 216, 255))
(50, (207, 252, 253, 255))
(50, (154, 208, 251, 255))
(50, (132, 187, 237, 255))
(50, (115, 172, 225, 255))
(50, (138, 193, 235, 255))
(50, (141, 198, 248, 255))
(50, (180, 233, 254, 255))
(50, (178, 230, 254, 255))
(50, (156, 214, 252, 255))
(50, (132, 188, 240, 255))
(50, (139, 196, 247, 255))
(49, (169, 222, 253, 255))
(49, (147, 203, 249, 255))
(49, (146, 203, 251, 255))
(49, (150, 204, 250, 255))
(49, (169, 220, 252, 255))
(49, (153, 207, 250, 255))
(49, (139, 197, 248, 255))
(49, (131, 188, 242, 255))
(49, (130, 187, 240, 255))
(48, (171, 224, 253, 255))
(48, (165, 224, 253, 255))
(48, (161, 215, 252, 255))
(48, (180, 234, 254, 255))
(48, (169, 221, 252, 255))
(48, (152, 205, 249, 255))
(48, (148, 203, 249, 255))
(48, (124, 181, 234, 255))
(48, (127, 185, 236, 255))
(48, (143, 201, 246, 255))
(48, (130, 187, 241, 255))
(47, (167, 220, 253, 255))
(47, (154, 208, 250, 255))
(47, (155, 211, 251, 255))
(47, (125, 182, 235, 255))
(47, (142, 200, 249, 255))
(47, (148, 205, 250, 255))
(47, (140, 198, 249, 255))
(47, (140, 194, 238, 255))
(47, (131, 188, 240, 255))
(47, (131, 186, 236, 255))
(46, (140, 195, 240, 255))
(46, (171, 225, 253, 255))
(46, (154, 206, 249, 255))
(46, (140, 194, 237, 255))
(46, (117, 174, 227, 255))
(46, (139, 194, 239, 255))
(46, (170, 224, 253, 255))
(46, (172, 227, 254, 255))
(46, (162, 218, 252, 255))
(46, (157, 216, 252, 255))
(46, (154, 209, 252, 255))
(45, (143, 201, 249, 255))
(45, (226, 254, 253, 255))
(45, (142, 200, 250, 255))
(45, (132, 188, 241, 255))
(45, (149, 206, 251, 255))
(45, (182, 249, 252, 255))
(45, (174, 227, 254, 255))
(45, (144, 201, 250, 255))
(44, (163, 218, 251, 255))
(44, (159, 217, 253, 255))
(44, (157, 215, 253, 255))
(44, (148, 202, 245, 255))
(44, (130, 186, 236, 255))
(44, (153, 206, 248, 255))
(44, (142, 199, 249, 255))
(43, (186, 250, 253, 255))
(43, (162, 217, 251, 255))
(43, (149, 205, 250, 255))
(43, (136, 191, 242, 255))
(43, (132, 187, 236, 255))
(43, (132, 188, 238, 255))
(43, (116, 173, 225, 255))
(42, (166, 221, 253, 255))
(42, (164, 218, 251, 255))
(42, (156, 215, 253, 255))
(42, (153, 208, 251, 255))
(42, (151, 206, 251, 255))
(42, (139, 194, 238, 255))
(42, (131, 187, 237, 255))
(42, (139, 194, 236, 255))
(42, (122, 181, 238, 255))
(42, (124, 181, 233, 255))
(42, (152, 206, 251, 255))
(42, (152, 205, 248, 255))
(42, (185, 236, 254, 255))
(42, (178, 232, 254, 255))
(42, (170, 221, 252, 255))
(42, (164, 218, 246, 255))
(42, (155, 207, 249, 255))
(42, (156, 210, 247, 255))
(42, (139, 195, 247, 255))
(41, (148, 202, 244, 255))
(41, (132, 188, 237, 255))
(41, (140, 195, 238, 255))
(41, (162, 216, 252, 255))
(41, (130, 186, 237, 255))
(41, (165, 223, 253, 255))
(41, (126, 183, 235, 255))
(41, (179, 232, 254, 255))
(41, (132, 188, 239, 255))
(41, (149, 203, 244, 255))
(41, (137, 192, 244, 255))
(41, (143, 201, 245, 255))
(41, (161, 214, 250, 255))
(40, (163, 214, 251, 255))
(40, (141, 198, 244, 255))
(40, (172, 244, 252, 255))
(40, (141, 195, 239, 255))
(40, (164, 218, 248, 255))
(40, (152, 210, 252, 255))
(40, (147, 202, 244, 255))
(40, (139, 196, 243, 255))
(39, (134, 191, 243, 255))
(39, (172, 223, 253, 255))
(39, (165, 221, 253, 255))
(39, (157, 212, 247, 255))
(39, (154, 210, 251, 255))
(39, (147, 199, 247, 255))
(39, (130, 188, 241, 255))
(39, (121, 180, 237, 255))
(39, (141, 195, 238, 255))
(39, (157, 211, 252, 255))
(39, (133, 190, 241, 255))
(39, (168, 220, 252, 255))
(39, (168, 219, 252, 255))
(39, (149, 204, 249, 255))
(39, (157, 214, 252, 255))
(39, (143, 199, 244, 255))
(39, (155, 209, 246, 255))
(39, (158, 212, 247, 255))
(39, (140, 196, 242, 255))
(39, (146, 198, 243, 255))
(38, (135, 191, 243, 255))
(38, (180, 248, 252, 255))
(38, (178, 248, 252, 255))
(38, (150, 209, 251, 255))
(38, (163, 219, 252, 255))
(38, (153, 207, 249, 255))
(38, (153, 210, 252, 255))
(38, (152, 207, 250, 255))
(38, (145, 198, 242, 255))
